Province_S, Province_L ,provinceLao,feature_id,year,value
VTE, Vientiane Capital ,ນະຄອນຫຼວງວຽງຈັນ,13,2012,2.5
PHO, Phongsaly ,ຜົ້ງສາລີ,10,2012,19.9
LNT, Luangnamtha ,ຫຼວງນໍ້າທາ,7,2012,25
ODX, Oudomxay ,ອຸດົມໄຊ,9,2012,36.6
BK , Bokeo ,ບໍ່ແກ້ວ,2,2012,51.8
LPB, Luangprabang ,ຫຼວງພະບາງ,8,2012,30
HPH, Huaphanh ,ຫົວພັນ,5,2012,45.4
XYB, Xayabury ,ໄຊຍະບູລີ,0,2012,15.7
XK, Xiengkhuang ,ຊຽງຂວາງ,17,2012,34.3
VTP, Vientiane ,ແຂວງວຽງຈັນ,14,2012,10.9
BKX, Borikhamxay ,ບໍລິຄຳໄຊ,3,2012,14.7
KHM, Khammuane ,ຄຳມ່ວນ,6,2012,25.2
SVK, Savannakhet ,ສະຫວັນນະເຂດ,12,2012,29.1
SLV, Saravane ,ສາລະວັນ,11,2012,52.1
SK, Sékong ,ເຊກອງ,16,2012,44.4
CPS, Champasak ,ຈຳປາສັກ,4,2012,19.6
ATP, Attapeu ,ອັດຕະປື,1,2012,9.1
XSB, Xaysomboun ,ໄຊສົມບູນ,15,2012,0
VTE, Vientiane Capital ,ນະຄອນຫຼວງວຽງຈັນ,13,2018,5
PHO, Phongsaly ,ຜົ້ງສາລີ,10,2018,8.1
LNT, Luangnamtha ,ຫຼວງນໍ້າທາ,7,2018,10.5
ODX, Oudomxay ,ອຸດົມໄຊ,9,2018,29.2
BK , Bokeo ,ບໍ່ແກ້ວ,2,2018,19.4
LPB, Luangprabang ,ຫຼວງພະບາງ,8,2018,20.4
HPH, Huaphanh ,ຫົວພັນ,5,2018,26.6
XYB, Xayabury ,ໄຊຍະບູລີ,0,2018,21.1
XK, Xiengkhuang ,ຊຽງຂວາງ,17,2018,26
VTP, Vientiane ,ແຂວງວຽງຈັນ,14,2018,5.3
BKX, Borikhamxay ,ບໍລິຄຳໄຊ,3,2018,20.6
KHM, Khammuane ,ຄຳມ່ວນ,6,2018,25.5
SVK, Savannakhet ,ສະຫວັນນະເຂດ,12,2018,27.5
SLV, Saravane ,ສາລະວັນ,11,2018,24.9
SK, Sékong ,ເຊກອງ,16,2018,30.6
CPS, Champasak ,ຈຳປາສັກ,4,2018,8.7
ATP, Attapeu ,ອັດຕະປື,1,2018,27.8
XSB, Xaysomboun ,ໄຊສົມບູນ,15,2018,8.2
