Province_S,Province_L,provinceLao,feature_id,year,value
VTE,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,13,2012,2.5
PHO,Phongsaly,ຜົ້ງສາລີ,10,2012,51.7
LNT,Luangnamtha,ຫຼວງນໍ້າທາ,7,2012,44.6
ODX,Oudomxay,ອຸດົມໄຊ,9,2012,50
BK,Bokeo,ບໍ່ແກ້ວ,2,2012,56.8
LPB,Luangprabang,ຫຼວງພະບາງ,8,2012,39.3
HPH,Huaphanh,ຫົວພັນ,5,2012,54
XYB,Xayabury,ໄຊຍະບູລີ,0,2012,20.5
XK,Xiengkhuang,ຊຽງຂວາງ,17,2012,42.1
VTP,Vientiane,ແຂວງວຽງຈັນ,14,2012,15
BKX,Borikhamxay,ບໍລິຄຳໄຊ,3,2012,17.6
KHM,Khammuane,ຄຳມ່ວນ,6,2012,34.8
SVK,Savannakhet,ສະຫວັນນະເຂດ,12,2012,38.9
SLV,Saravane,ສາລະວັນ,11,2012,62.2
SK,Sékong,ເຊກອງ,16,2012,61.4
CPS,Champasak,ຈຳປາສັກ,4,2012,28
ATP,Attapeu,ອັດຕະປື,1,2012,21.3
XSB,Xaysomboun,ໄຊສົມບູນ,15,2012,0
VTE,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,13,2018,5.2
PHO,Phongsaly,ຜົ້ງສາລີ,10,2018,23.9
LNT,Luangnamtha,ຫຼວງນໍ້າທາ,7,2018,15.3
ODX,Oudomxay,ອຸດົມໄຊ,9,2018,34.8
BK,Bokeo,ບໍ່ແກ້ວ,2,2018,23.7
LPB,Luangprabang,ຫຼວງພະບາງ,8,2018,23.4
HPH,Huaphanh,ຫົວພັນ,5,2018,28
XYB,Xayabury,ໄຊຍະບູລີ,0,2018,22.2
XK,Xiengkhuang,ຊຽງຂວາງ,17,2018,27.5
VTP,Vientiane,ແຂວງວຽງຈັນ,14,2018,5.7
BKX,Borikhamxay,ບໍລິຄຳໄຊ,3,2018,21.5
KHM,Khammuane,ຄຳມ່ວນ,6,2018,28
SVK,Savannakhet,ສະຫວັນນະເຂດ,12,2018,33.9
SLV,Saravane,ສາລະວັນ,11,2018,32.9
SK,Sékong,ເຊກອງ,16,2018,44.1
CPS,Champasak,ຈຳປາສັກ,4,2018,11.3
ATP,Attapeu,ອັດຕະປື,1,2018,35.1
XSB,Xaysomboun,ໄຊສົມບູນ,15,2018,11
